2024-02-21 22:26:43.515732|INFO    |VirtualServer |1  |permission 'b_channel_create_with_topic'(id:92) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515808|INFO    |VirtualServer |1  |permission 'b_channel_create_with_description'(id:93) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515875|INFO    |VirtualServer |1  |permission 'b_channel_create_with_password'(id:94) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515965|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_opusvoice'(id:96) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516066|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_latency_factor_min'(id:99) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516176|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxclients'(id:100) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516284|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxfamilyclients'(id:101) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516361|INFO    |VirtualServer |1  |permission 'b_channel_create_with_needed_talk_power'(id:104) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516450|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_maxquality'(id:98) with values (value:7, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516523|INFO    |VirtualServer |1  |permission 'i_channel_max_depth'(id:83) with values (value:5, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516602|INFO    |VirtualServer |1  |permission 'i_channel_delete_power'(id:132) with values (value:60, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516680|INFO    |VirtualServer |1  |permission 'b_channel_delete_semi_permanent'(id:129) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516762|INFO    |VirtualServer |1  |permission 'b_channel_delete_temporary'(id:130) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516835|INFO    |VirtualServer |1  |permission 'b_channel_delete_flag_force'(id:131) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.516926|INFO    |VirtualServer |1  |permission 'i_client_max_avatar_filesize'(id:178) with values (value:200000, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
